名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
今井 耕司,いまい こうじ,imai_kouji@example.com,男,46,1972/6/4,既婚,A型,沖縄県,041- 74-  84,080-2762-9796,au,左ルー・混ぜ混ぜ派
大坂 翔子,おおさか しょうこ,oosaka_shouko@example.com,女,66,1951/11/21,既婚,B型,新潟県,047-243-6166,080-3057- 302,ソフトバンク,右ルー・ルー攻め派
中原 芳正,なかはら よしまさ,nakahara_yoshimasa@example.com,男,46,1972/9/13,既婚,O型,山口県,094-968-1227,090-3587-4457,ソフトバンク,左ルー・別口派
小幡 優,おばた ゆう,obata_yuu@example.com,男,30,1988/4/10,未婚,O型,山梨県,031-984- 318,080-4580-9549,ソフトバンク,左ルー・せき止め派
大下 健,おおした けん,ooshita_ken@example.com,男,49,1969/10/24,既婚,B型,東京都,044-135-3633,090-7522-6877,au,ぶっかけ・ルー攻め派
茂木 ちえみ,もぎ ちえみ,mogi_chiemi@example.com,女,32,1986/10/7,未婚,O型,宮城県,0 9-726-7205,080-6124-4276,ドコモ,ぶっかけ・混ぜ混ぜ派
杉本 貴嶺,すぎもと たかね,sugimoto_takane@example.com,男,63,1954/11/11,既婚,A型,東京都,081-660-9382,080-2011-6715,au,左ルー・混ぜ混ぜ派
菅沼 浩正,すがぬま ひろまさ,suganuma_hiromasa@example.com,男,63,1955/9/28,既婚,A型,群馬県,062-294-2976,080-3393-3798,ドコモ,右ルー・混ぜ混ぜ派
奥山 慎之介,おくやま しんのすけ,okuyama_shinnosuke@example.com,男,62,1956/2/15,既婚,A型,和歌山県,020- 41-8615,080-7730- 532,ドコモ,ぶっかけ・別口派
今村 草太,いまむら そうた,imamura_souta@example.com,男,47,1970/12/12,既婚,B型,岩手県,087-748-7626,090-8021-9843,ソフトバンク,左ルー・混ぜ混ぜ派
亀山 メイサ,かめやま めいさ,kameyama_meisa@example.com,女,20,1998/3/22,未婚,A型,栃木県,037-287-8092,090-1254-8194,ドコモ,別盛り・別口派
高田 フミヤ,たかだ ふみや,takada_fumiya@example.com,男,67,1951/6/8,既婚,B型,埼玉県,0 8-187-8973,090-6963-1680,ツーカー,左ルー・混ぜ混ぜ派
中島 未華子,なかしま みかこ,nakashima_mikako@example.com,女,74,1944/2/9,既婚,O型,兵庫県,022-470-1669,090-1125-6126,au,手前ルー・ルー攻め派
横川 あさみ,よこかわ あさみ,yokokawa_asami@example.com,女,57,1961/2/11,既婚,A型,島根県,018-323-1302,080-3933-7004,ドコモ,左ルー・ルー攻め派
竹下 杏,たけした あん,takeshita_ann@example.com,女,71,1946/11/17,既婚,B型,新潟県,068-596-7551,080-6884-4982,ドコモ,左ルー・せき止め派
大橋 昴,おおはし すばる,oohashi_subaru@example.com,男,41,1977/2/13,既婚,O型,福岡県,034-924- 553,080-7424-8856,ソフトバンク,ぶっかけ・せき止め派
高野 茜,たかの あかね,takano_akane@example.com,女,27,1991/10/2,既婚,B型,兵庫県,095-739-5150,090-5085-9562,au,奥ルー・別口派
岡野 裕司,おかの ゆうじ,okano_yuuji@example.com,男,70,1948/9/29,既婚,AB型,高知県,069-720-5230,080-7887- 438,au,左ルー・ルー攻め派
山田 祐基,やまだ ゆうき,yamada_yuuki@example.com,男,78,1940/10/12,既婚,O型,長野県,041-930-5877,090-7839- 843,ドコモ,右ルー・ルー攻め派
坂上 拓郎,さかがみ たくろう,sakagami_takurou@example.com,男,80,1938/10/18,既婚,A型,福岡県,090- 42-1411,080- 583- 218,au,左ルー・ルー攻め派
河内 由宇,かわうち ゆう,kawauchi_yuu@example.com,女,51,1967/10/17,既婚,A型,東京都,032-462-2953,080-3546-4113,ドコモ,左ルー・混ぜ混ぜ派
村木 信吾,むらき しんご,muraki_shingo@example.com,男,40,1978/6/27,既婚,O型,三重県,040-804-5982,090-3340-4411,ドコモ,ぶっかけ・ルー攻め派
塚本 一徳,つかもと いっとく,tsukamoto_ittoku@example.com,男,42,1976/6/6,既婚,O型,大阪府,026-175-5729,090-7694-4256,au,左ルー・別口派
小泉 仁晶,こいずみ ひろあき,koizumi_hiroaki@example.com,男,43,1974/12/21,既婚,AB型,兵庫県,039-357-1879,080-3199-2465,ドコモ,ぶっかけ・ルー攻め派
寺島 和久,てらしま かずひさ,terashima_kazuhisa@example.com,男,50,1968/8/15,既婚,O型,愛知県,0  -630-9268,090-6946-9654,ドコモ,左ルー・せき止め派
海老原 精児,えびはら せいじ,ebihara_seiji@example.com,男,24,1994/5/21,未婚,AB型,熊本県,076- 90-3051,090-8128-1814,ソフトバンク,奥ルー・混ぜ混ぜ派
奥田 翔,おくだ しょう,okuda_shou@example.com,男,43,1975/6/20,既婚,B型,山梨県,0 4-623-5466,090-1048-2958,au,別盛り・混ぜ混ぜ派
斉藤 勇,さいとう ゆう,saitou_yuu@example.com,女,64,1954/4/29,既婚,B型,愛知県,041-298-3788,090- 882-9122,au,右ルー・混ぜ混ぜ派
中園 れいな,なかぞの れいな,nakazono_reina@example.com,女,50,1968/10/15,既婚,O型,滋賀県,087-588-5814,090-2686-3418,au,左ルー・せき止め派
神田 薫,かんだ かおる,kannda_kaoru@example.com,男,56,1962/2/6,未婚,A型,東京都,016-952-6918,090-8202-2428,au,ぶっかけ・せき止め派
香椎 涼子,かしい りょうこ,kashii_ryouko@example.com,女,40,1977/12/5,既婚,O型,岩手県,080-576-3947,080-6271-6563,ソフトバンク,左ルー・混ぜ混ぜ派
新谷 まみ,あらや まみ,araya_mami@example.com,女,67,1951/3/29,既婚,B型,千葉県,075-503-8268,090-6047-8279,ソフトバンク,左ルー・せき止め派
桜田 あおい,さくらだ あおい,sakurada_aoi@example.com,女,79,1938/12/13,既婚,A型,新潟県,026-231-4581,090-2105-1774,ドコモ,ぶっかけ・ルー攻め派
桜井 努,さくらい つとむ,sakurai_tsutomu@example.com,男,45,1972/12/8,既婚,A型,栃木県,053-781-1277,090-9033-8040,ドコモ,右ルー・別口派
池畑 竜次,いけはた りゅうじ,ikehata_ryuuji@example.com,男,80,1938/6/29,既婚,A型,京都府,011-358-9158,080-2852-6005,ドコモ,ぶっかけ・ルー攻め派
中原 太朗,なかはら たろう,nakahara_tarou@example.com,男,53,1965/9/24,既婚,O型,福岡県,075-645-4797,080-2878-8109,au,別盛り・別口派
赤松 綾女,あかまつ あやめ,akamatsu_ayame@example.com,女,46,1971/12/14,既婚,A型,三重県,092-864-4421,080-9573-8144,ドコモ,右ルー・混ぜ混ぜ派
久保田 なつみ,くぼた なつみ,kubota_natsumi@example.com,女,48,1970/10/9,既婚,AB型,大阪府,085-  3-1104,090-4501-9577,ドコモ,右ルー・別口派
古賀 希,こが のぞみ,koga_nozomi@example.com,女,60,1958/6/14,既婚,AB型,千葉県,032-197-4383,080-9488-5271,ドコモ,手前ルー・混ぜ混ぜ派
荻野 満,おぎの みつる,ogino_mitsuru@example.com,男,42,1976/1/15,既婚,B型,千葉県,044-758-1138,090-6203- 188,au,別盛り・ルー攻め派
大石 美帆,おおいし みほ,ooishi_miho@example.com,女,77,1941/1/31,既婚,AB型,埼玉県,048-834-1571,090-1700-8175,au,左ルー・せき止め派
布川 人志,ふかわ ひとし,fukawa_hitoshi@example.com,男,42,1976/7/31,未婚,O型,香川県,037-369-8319,080-3582-7872,ドコモ,ぶっかけ・せき止め派
谷川 璃子,たにかわ りこ,tanikawa_riko@example.com,女,49,1968/11/19,既婚,O型,大阪府,021-112-4483,090-7576-1076,au,左ルー・ナン派
川田 ジローラモ,かわた じろーらも,kawata_girolamo@example.com,男,45,1973/8/20,既婚,O型,神奈川県,069-107- 671,090-1712-3336,ソフトバンク,奥ルー・混ぜ混ぜ派
諏訪 一,すわ はじめ,suwa_hajime@example.com,男,28,1990/5/3,既婚,O型,佐賀県,083-912-7148,080-7840-2702,ドコモ,奥ルー・別口派
神木 光,かみき ひかる,kamiki_hikaru@example.com,女,50,1968/4/6,既婚,A型,三重県,057-508-9046,080-6461-1656,ドコモ,ぶっかけ・ルー攻め派
神木 聖陽,かみき まさあき,kamiki_masaaki@example.com,男,28,1990/4/10,既婚,B型,福岡県,017-303-8399,090-5943-4309,ドコモ,ぶっかけ・せき止め派
星 恵梨香,ほし えりか,hoshi_erika@example.com,女,67,1951/5/14,既婚,O型,愛知県,0 3-967-3623,090-3630-7334,ドコモ,ぶっかけ・せき止め派
山上 満,やまがみ みつる,yamagami_mitsuru@example.com,男,67,1951/10/23,既婚,A型,大阪府,017- 67-2344,090-4093-5820,ドコモ,左ルー・混ぜ混ぜ派
中川 咲,なかがわ さき,nakagawa_saki@example.com,女,39,1979/2/9,既婚,A型,宮城県,049-179-4785,090-5939-5536,au,右ルー・せき止め派
宮島 まみ,みやじま まみ,miyajima_mami@example.com,女,44,1974/10/18,既婚,A型,新潟県,074-308- 360,080-3936-9782,ドコモ,左ルー・混ぜ混ぜ派
三田 仁,みた じん,mita_jin@example.com,男,31,1986/12/19,未婚,A型,東京都,016-446-  84,090-2511-4261,au,左ルー・ルー攻め派
中谷 薫,なかたに かおる,nakatani_kaoru@example.com,女,43,1975/3/2,既婚,O型,兵庫県,088-411-2926,090- 139-6878,au,別盛り・別口派
角田 恵望子,かどた えみこ,kadota_emiko@example.com,女,42,1976/7/17,既婚,A型,東京都,074-536- 168,080-2492-6542,au,別盛り・ルー攻め派
藤川 美希,ふじかわ みき,fujikawa_miki@example.com,女,69,1949/7/23,既婚,A型,神奈川県,0 8-183-1168,080-6369-9090,ドコモ,ぶっかけ・ルー攻め派
中原 真帆,なかはら まほ,nakahara_maho@example.com,女,51,1966/12/1,既婚,O型,千葉県,072-649-7158,090-4376-7016,ドコモ,手前ルー・ルー攻め派
塚原 真希,つかはら まき,tsukahara_maki@example.com,女,73,1945/8/30,既婚,O型,鹿児島県,026-603-5193,090-3835-4319,au,ぶっかけ・混ぜ混ぜ派
恩田 隼士,おんだ しゅんじ,onnda_shunji@example.com,男,24,1994/2/19,未婚,A型,宮崎県,0  -115-2664,090-3286-9756,au,左ルー・混ぜ混ぜ派
田所 美佳,たどころ みか,tadokoro_mika@example.com,女,60,1958/6/17,既婚,O型,北海道,0 2-671-5821,090- 436-3351,ドコモ,奥ルー・ルー攻め派
川口 恵麻,かわぐち えま,kawaguchi_ema@example.com,女,35,1983/7/21,既婚,B型,広島県,091-536-7472,090-4251-7824,ソフトバンク,ぶっかけ・混ぜ混ぜ派
島袋 たかお,しまぶくろ たかお,shimabukuro_takao@example.com,男,57,1961/2/17,既婚,B型,大阪府,0 7-517-1896,080-1204-7348,ドコモ,左ルー・混ぜ混ぜ派
豊島 剛基,とよしま よしき,toyoshima_yoshiki@example.com,男,60,1958/7/25,既婚,A型,東京都,033-396-2236,080-6212-3854,ソフトバンク,左ルー・せき止め派
松下 恵望子,まつした えみこ,matsushita_emiko@example.com,女,32,1986/1/3,既婚,B型,青森県,040-618-4558,080-9407-5877,au,ぶっかけ・せき止め派
山城 優,やましろ ゆう,yamashiro_yuu@example.com,女,41,1977/9/28,既婚,A型,兵庫県,035-765-7246,090-2948-1172,ドコモ,手前ルー・別口派
井口 正敏,いぐち まさとし,iguchi_masatoshi@example.com,男,26,1991/11/15,未婚,O型,静岡県,0 9-839-8156,090-6855- 556,au,奥ルー・せき止め派
永瀬 小雁,ながせ こがん,nagase_kogan@example.com,男,70,1948/9/6,既婚,AB型,神奈川県,073-197-8475,080-9802-3394,au,右ルー・ルー攻め派
青山 景子,あおやま けいこ,aoyama_keiko@example.com,女,72,1946/5/19,既婚,B型,香川県,075- 25-  29,090-3680-9036,au,左ルー・別口派
関 遥,せき はるか,seki_haruka@example.com,女,55,1962/11/21,既婚,B型,岐阜県,0 2-625-5686,090-8581-4088,au,左ルー・ルー攻め派
下川 瞳,しもかわ ひとみ,shimokawa_hitomi@example.com,女,35,1983/4/28,既婚,B型,埼玉県,026-886-8098,090- 961-2118,ドコモ,左ルー・別口派
有村 草太,ありむら そうた,arimura_souta@example.com,男,60,1958/9/1,既婚,A型,愛知県,055-737-8157,080-2247-1404,ドコモ,ぶっかけ・混ぜ混ぜ派
井川 雅彦,いがわ まさひこ,igawa_masahiko@example.com,男,22,1996/7/12,未婚,A型,埼玉県,087- 74-3927,080-7191-8975,ドコモ,右ルー・混ぜ混ぜ派
前田 マサカズ,まえだ まさかず,maeda_masakazu@example.com,男,67,1950/11/25,既婚,A型,大分県,029-916-3289,090- 975-4150,au,別盛り・せき止め派
磯村 真悠子,いそむら まゆこ,isomura_mayuko@example.com,女,78,1940/10/31,既婚,O型,岐阜県,0 9-229-4789,090-6628-9261,ドコモ,右ルー・混ぜ混ぜ派
三輪 真悠子,みわ まゆこ,miwa_mayuko@example.com,女,22,1996/10/16,既婚,B型,東京都,063-759-1138,090-6876-8411,au,左ルー・混ぜ混ぜ派
青山 徹,あおやま とおる,aoyama_tooru@example.com,男,25,1993/2/16,未婚,O型,埼玉県,040- 58-6218,080-7143-7626,ソフトバンク,ぶっかけ・別口派
坂上 華子,さかがみ はなこ,sakagami_hanako@example.com,女,25,1993/1/8,既婚,AB型,大阪府,096-803- 338,080-2301- 881,ドコモ,別盛り・せき止め派
西岡 サンタマリア,にしおか さんたまりあ,nishioka_stmaria@example.com,女,34,1984/1/27,既婚,A型,兵庫県,010-888-1137,080-5099-4696,ソフトバンク,ぶっかけ・ルー攻め派
役所 将也,やくしょ まさや,yakusho_masaya@example.com,男,72,1946/8/22,既婚,A型,北海道,064-397-7469,090-4958- 383,ソフトバンク,手前ルー・せき止め派
蛍原 薫,ほとはら かおる,hotohara_kaoru@example.com,男,21,1997/1/2,未婚,O型,北海道,081-711-9695,080- 829-4308,au,左ルー・別口派
彼方 美里,かなた みり,kanata_miri@example.com,女,80,1938/5/2,既婚,O型,鹿児島県,039-391-2096,080-4724-6718,au,ぶっかけ・せき止め派
吉井 遥,よしい はるか,yoshii_haruka@example.com,女,60,1958/9/2,既婚,B型,群馬県,0 7-228-2298,090-3936-4941,ソフトバンク,左ルー・混ぜ混ぜ派
田尻 フミヤ,たじり ふみや,tajiri_fumiya@example.com,男,59,1958/12/8,既婚,B型,兵庫県,0 8-514-3901,080-7829-1006,ソフトバンク,左ルー・ルー攻め派
角田 紗季,かどた さき,kadota_saki@example.com,女,55,1963/2/20,既婚,B型,埼玉県,011-260-1248,090-3740-2039,ソフトバンク,左ルー・せき止め派
亀井 なつみ,かめい なつみ,kamei_natsumi@example.com,女,39,1978/12/23,既婚,A型,埼玉県,030-  5-8732,080-1574-8669,au,ぶっかけ・ルー攻め派
中井 将也,なかい まさや,nakai_masaya@example.com,男,44,1974/10/18,既婚,A型,石川県,036-471- 845,080-4791-9259,ドコモ,ぶっかけ・別口派
田口 サンタマリア,たぐち さんたまりあ,taguchi_stmaria@example.com,女,79,1939/10/29,既婚,O型,山形県,092-592-5495,090- 850-4031,ドコモ,左ルー・せき止め派
上野 広司,うえの こうじ,ueno_kouji@example.com,男,33,1985/1/29,既婚,O型,福岡県,080-177- 120,080-4321-3703,ドコモ,奥ルー・ナン派
余 莉緒,よ りお,yo_rio@example.com,女,44,1973/12/9,既婚,AB型,沖縄県,019-162-3488,080-2908-3864,ドコモ,手前ルー・せき止め派
小田 花緑,おだ かろく,oda_karoku@example.com,男,73,1945/10/30,既婚,O型,茨城県,074-533-1838,090-6095-5778,ドコモ,左ルー・別口派
末永 真悠子,すえなが まゆこ,suenaga_mayuko@example.com,女,56,1961/11/8,既婚,A型,埼玉県,034-215-4775,080-8818-9823,au,左ルー・別口派
吉岡 克実,よしおか かつみ,yoshioka_katsumi@example.com,男,34,1984/3/5,既婚,B型,愛知県,071- 86-7013,080-9112-4791,ドコモ,ぶっかけ・ナン派
越智 幸子,おち さちこ,ochi_sachiko@example.com,女,74,1944/6/8,既婚,O型,愛知県,024-367-5843,080-6839- 845,ドコモ,ぶっかけ・せき止め派
三村 さんま,みむら さんま,mimura_sanma@example.com,男,64,1953/12/10,既婚,A型,埼玉県,084-891-3759,080-1892-6543,ドコモ,右ルー・混ぜ混ぜ派
目黒 徹,めぐろ とおる,meguro_tohru@example.com,男,31,1987/6/20,未婚,AB型,埼玉県,096-149- 245,080-1959- 210,ドコモ,ぶっかけ・ルー攻め派
橋爪 だん吉,はしづめ だんきち,hashidume_dankichi@example.com,男,46,1972/5/26,既婚,A型,石川県,042-213-7584,090-6691-6518,au,ぶっかけ・混ぜ混ぜ派
石原 美帆,いしはら みほ,ishihara_miho@example.com,女,40,1978/2/23,既婚,B型,熊本県,017-518-9286,090-1695-1837,ドコモ,右ルー・別口派
野中 隆博,のなか たかひろ,nonaka_takahiro@example.com,男,75,1943/5/24,既婚,O型,北海道,071-366-3322,080-9999-4363,ドコモ,奥ルー・せき止め派
梅村 友香,うめむら ともか,umemura_tomoka@example.com,女,30,1988/5/5,既婚,AB型,愛知県,024-458-1624,090-9949-5831,ソフトバンク,右ルー・せき止め派
満島 まひる,みつしま まひる,mitsushima_mahiru@example.com,女,57,1960/11/27,既婚,O型,長野県,081-836-9661,080-4002-1460,ソフトバンク,ぶっかけ・ナン派
花岡 りえ,はなおか りえ,hanaoka_rie@example.com,女,78,1940/1/10,既婚,A型,東京都,0 8-802-8448,080-9861-8974,ドコモ,ぶっかけ・ルー攻め派
石井 翔太,いしい しょうた,ishii_shouta@example.com,男,75,1943/1/2,既婚,B型,群馬県,012-219-2964,080- 875-2743,ドコモ,手前ルー・せき止め派
大下 早紀,おおした さき,ooshita_saki@example.com,女,40,1978/7/11,未婚,A型,山口県,016-247-5907,080-8263-6708,ドコモ,ぶっかけ・せき止め派
門田 三省,かどた さんせい,kadota_sansei@example.com,男,59,1959/4/18,既婚,A型,埼玉県,0 9-235-6864,090-6218-4113,ドコモ,ぶっかけ・ルー攻め派
倉本 エリカ,くらもと えりか,kuramoto_erika@example.com,女,37,1981/6/17,既婚,AB型,神奈川県,090-747-3871,080-5773-3088,au,左ルー・混ぜ混ぜ派
田中 由宇,たなか ゆう,tanaka_yuu@example.com,女,47,1971/3/30,既婚,A型,東京都,016- 75-2379,080-7225-3487,ドコモ,奥ルー・混ぜ混ぜ派
南部 寿明,なんぶ としあき,nannbu_toshiaki@example.com,男,37,1981/3/20,既婚,O型,広島県,024-279-6305,080-2088-6158,ドコモ,左ルー・ルー攻め派
三宅 沙知絵,みやけ さちえ,miyake_sachie@example.com,女,23,1995/9/4,未婚,A型,愛知県,064-917-7695,080-3292-8176,ソフトバンク,ぶっかけ・混ぜ混ぜ派
古川 美和子,ふるかわ みわこ,furukawa_miwako@example.com,女,53,1965/4/24,既婚,B型,埼玉県,014-242-6226,090-8400-7117,ドコモ,右ルー・ルー攻め派
神保 ジョージ,じんぼ じょーじ,jinbo_george@example.com,男,65,1953/9/10,既婚,A型,兵庫県,095-107-3271,090-4004- 320,au,ぶっかけ・ルー攻め派
小林 ひとみ,こばやし ひとみ,kobayashi_hitomi@example.com,女,24,1993/12/18,既婚,A型,岩手県,059-797-2021,090-1819-9386,au,手前ルー・せき止め派
平田 薫,ひらた かおる,hirata_kaoru@example.com,女,24,1994/10/3,未婚,O型,千葉県,096-442- 378,090-7496-8123,ドコモ,奥ルー・せき止め派
橘 遥,たちばな はるか,tachibana_haruka@example.com,女,23,1994/12/23,既婚,A型,奈良県,020-973-5510,090-2957-6300,ドコモ,左ルー・ルー攻め派
六角 照生,ろっかく てるお,rokkaku_teruo@example.com,男,72,1945/12/27,既婚,A型,和歌山県,098-226-5271,080-8526-7568,au,右ルー・せき止め派
河野 璃奈子,こうの りなこ,kouno_rinako@example.com,女,71,1947/4/14,既婚,A型,北海道,013-551-7059,090-5383-5529,ドコモ,ぶっかけ・混ぜ混ぜ派
難波 由樹,なんば ゆき,nannba_yuki@example.com,女,21,1997/1/14,未婚,A型,千葉県,026-935- 414,080-6320-3651,ドコモ,ぶっかけ・せき止め派
宍戸 碧海,ししど おうが,shishido_ouga@example.com,男,32,1986/7/2,未婚,A型,神奈川県,058- 64-5404,090-9567-4307,ドコモ,左ルー・別口派
喜多 茜,きた あかね,kita_akane@example.com,女,51,1967/3/29,既婚,O型,栃木県,053-782-2034,090-1788- 280,ドコモ,ぶっかけ・ルー攻め派
奥寺 さやか,おくでら さやか,okudera_sayaka@example.com,女,43,1975/3/17,既婚,B型,岩手県,084-951-9298,090-4207-7347,ドコモ,ぶっかけ・せき止め派
小町 昴,こまち すばる,komachi_subaru@example.com,男,43,1974/11/12,既婚,A型,兵庫県,015-459-2171,090-1790-5472,ドコモ,別盛り・せき止め派
北条 慶太,ほうじょう けいた,houjou_keita@example.com,男,20,1998/5/20,未婚,A型,滋賀県,054-  6-2692,080-4893-2542,au,ぶっかけ・せき止め派
細野 季衣,ほその としえ,hosono_toshie@example.com,女,58,1960/1/23,既婚,B型,福岡県,098-691-8481,080-9574-1797,ドコモ,左ルー・ルー攻め派
堀口 隼士,ほりぐち しゅんじ,horiguchi_shunji@example.com,男,54,1963/11/3,既婚,O型,北海道,047-870-9763,090-5091-8196,ドコモ,手前ルー・混ぜ混ぜ派
中島 璃奈子,なかしま りなこ,nakashima_rinako@example.com,女,56,1962/9/9,既婚,A型,東京都,076-507-3889,090-7956- 277,ドコモ,左ルー・混ぜ混ぜ派
布川 雅彦,ふかわ まさひこ,fukawa_masahiko@example.com,男,70,1947/12/6,既婚,A型,茨城県,068-896-6362,080- 101-9485,au,奥ルー・せき止め派
菅 瑠璃亜,すが るりあ,suga_ruria@example.com,女,44,1973/12/21,既婚,AB型,福岡県,015-643-1973,090-6658- 233,ソフトバンク,奥ルー・別口派
菅沼 隆之介,すがぬま りゅうのすけ,suganuma_ryuunosuke@example.com,男,36,1982/2/26,未婚,O型,三重県,039-409-6444,080-1656-6193,au,別盛り・ルー攻め派
鹿賀 哲平,かが てっぺい,kaga_teppei@example.com,男,43,1975/3/10,既婚,A型,北海道,0 5-217-9550,090-3625-1657,ドコモ,左ルー・混ぜ混ぜ派
伊藤 賢二,いとう けんじ,itou_kenji@example.com,男,76,1941/11/24,既婚,AB型,静岡県,052-809-8809,080-8143-7700,au,左ルー・ルー攻め派
藤澤 希,ふじさわ のぞみ,fujisawa_nozomi@example.com,女,35,1983/4/19,既婚,O型,東京都,072-946-3493,080-9524-1546,ドコモ,左ルー・ルー攻め派
鎌田 研二,かまた けんじ,kamata_kenji@example.com,男,77,1941/6/25,既婚,A型,千葉県,048-523-6542,080-8933- 313,ドコモ,左ルー・混ぜ混ぜ派
上村 竜次,うえむら りゅうじ,uemura_ryuuji@example.com,男,54,1964/9/3,既婚,O型,千葉県,0 6-798-2657,090-2583-4425,au,左ルー・ルー攻め派
赤羽 ひとり,あかばね ひとり,akabane_hitori@example.com,男,29,1989/7/28,既婚,A型,奈良県,024-126-1500,080- 505-8770,ドコモ,ぶっかけ・せき止め派
西川 秀樹,にしかわ ひでき,nishikawa_hideki@example.com,男,60,1958/4/28,既婚,AB型,兵庫県,051-136-6340,080-3959-1339,ソフトバンク,ぶっかけ・ルー攻め派
西口 寿明,にしぐち としあき,nishiguchi_toshiaki@example.com,男,76,1942/8/20,既婚,B型,東京都,065-162-7324,090-9193- 110,ソフトバンク,左ルー・混ぜ混ぜ派
森田 健,もりた けん,morita_ken@example.com,男,50,1968/6/21,既婚,O型,福島県,0 7-534-8708,080-1902-8936,au,右ルー・せき止め派
湯浅 理紗,ゆあさ りさ,yuasa_risa@example.com,女,24,1994/3/29,未婚,O型,東京都,094- 50-1723,080-8165-5854,ドコモ,右ルー・ルー攻め派
奥山 結子,おくやま ゆうこ,okuyama_yuuko@example.com,女,45,1973/10/12,既婚,B型,東京都,028-918-3810,080-9116-4214,ドコモ,奥ルー・混ぜ混ぜ派
浅沼 恵子,あさぬま けいこ,asanuma_keiko@example.com,女,36,1982/7/25,既婚,O型,神奈川県,010-406-4796,080-7927-7525,au,別盛り・別口派
松井 コウ,まつい こう,matsui_kou@example.com,女,52,1966/2/18,既婚,O型,愛知県,0 8-552-1686,080-3594-3256,ドコモ,左ルー・ルー攻め派
藤崎 そら,ふじさき そら,fujisaki_sora@example.com,女,66,1952/4/8,既婚,A型,東京都,092-153-3618,090- 283- 794,ドコモ,ぶっかけ・混ぜ混ぜ派
菅沼 ひとみ,すがぬま ひとみ,suganuma_hitomi@example.com,女,37,1981/7/28,既婚,A型,鹿児島県,014-773-8432,080- 871- 102,ドコモ,奥ルー・せき止め派
八十田 瞬,やそだ しゅん,yasoda_shun@example.com,男,46,1972/8/15,既婚,B型,愛知県,0 5- 16-4322,090-6124-6082,au,左ルー・せき止め派
パンツェッタ 夏空,ぱんつぇった そら,panzetta_sora@example.com,女,29,1988/12/24,既婚,AB型,大分県,048-878-8404,090-1948-7752,ドコモ,右ルー・ルー攻め派
田淵 文世,たぶち ふみよ,tabuchi_fumiyo@example.com,女,43,1975/2/13,既婚,A型,神奈川県,047-973-1956,090-3523-7991,ドコモ,奥ルー・ルー攻め派
堀井 了,ほりい りょう,horii_ryou@example.com,男,33,1985/10/26,未婚,O型,秋田県,029-295- 674,080-5382-4288,ドコモ,左ルー・混ぜ混ぜ派
小野 優,おの ゆう,ono_yuu@example.com,女,79,1939/10/11,既婚,B型,埼玉県,024-183- 713,090-9389-5237,au,左ルー・混ぜ混ぜ派
石坂 竜也,いしざか たつや,ishizaka_tatsuya@example.com,男,75,1943/10/27,既婚,B型,大阪府,066-798-4800,090-9321-4019,au,左ルー・ルー攻め派
桜田 照生,さくらだ てるお,sakurada_teruo@example.com,男,44,1974/10/18,既婚,A型,大阪府,021-642-8092,090-3362-2025,au,左ルー・せき止め派
高村 薫,たかむら かおる,takamura_kaoru@example.com,男,23,1995/10/19,未婚,A型,新潟県,016-304-7040,080- 653-7910,au,奥ルー・別口派
